elapsed_seconds,observed_rate,forecast_rate,total_lag,num_workers
5.0,26.6,26.6,328,1
10.0,5.0,15.8,19,3
15.0,5.0,5.0,28,2
20.0,5.0,5.0,47,1
25.1,5.0,5.0,62,1
30.1,17.6,11.3,84,1
35.1,26.2,21.9,214,1
40.1,5.0,15.6,119,2
45.1,5.0,5.0,144,2
50.1,5.0,5.0,64,1
55.1,5.0,5.0,41,1
60.1,18.0,11.5,108,1
65.1,25.8,21.9,236,1
70.1,5.0,15.4,132,2
75.1,5.0,5.0,115,2
80.1,5.0,5.0,51,1
85.1,5.0,5.0,35,1
90.2,18.4,11.7,109,1
95.2,25.6,22.0,237,1
100.2,5.0,15.3,262,2
105.2,5.0,5.0,120,2
110.2,4.8,4.9,78,1
115.2,5.0,4.9,68,1
120.2,18.8,11.9,146,1
125.2,25.2,22.0,272,1
130.2,5.0,15.1,152,2
135.2,5.0,5.0,34,2
140.2,5.0,5.0,12,1
145.2,5.0,5.0,20,1
150.2,18.8,11.9,110,1
155.2,25.0,21.9,174,1
160.2,5.0,15.0,120,2
165.3,5.0,5.0,145,2
170.3,5.0,5.0,65,1
175.3,5.0,5.0,47,1
180.3,19.2,12.1,120,1
185.3,24.6,21.9,243,1
190.3,5.0,14.8,118,2
195.3,5.0,5.0,97,2
200.3,5.0,5.0,43,1
205.3,5.0,5.0,20,1
210.3,19.6,12.3,118,1
215.3,24.2,21.9,163,1
220.3,5.0,14.6,97,2
225.3,5.0,5.0,9,2
230.3,5.0,5.0,24,1
235.4,5.0,5.0,43,1
240.4,19.8,12.4,138,1
245.4,24.2,22.0,258,1
250.4,5.0,14.6,283,2
255.4,5.0,5.0,107,2
260.4,5.0,5.0,87,1
265.4,5.0,5.0,106,1
270.4,20.0,12.5,200,1
275.4,23.8,21.9,214,1
280.4,5.0,14.4,239,2
285.4,5.0,5.0,264,2
290.4,5.0,5.0,289,1
295.4,5.0,5.0,102,1
300.4,20.2,12.6,163,1
305.5,23.6,21.9,249,2
310.5,5.0,14.3,233,2
315.5,5.0,5.0,246,2
320.5,5.0,5.0,102,1
325.5,5.0,5.0,53,1
330.5,20.6,12.8,119,1
335.5,23.2,21.9,235,2
340.5,5.0,14.1,127,2
345.5,5.0,5.0,36,2
350.5,5.0,5.0,16,1
355.5,5.0,5.0,18,1
360.5,21.0,13.0,123,1
365.5,22.8,21.9,148,2
370.5,5.0,13.9,33,2
375.6,5.0,5.0,10,2
