elapsed_seconds,total_lag,num_workers
5.1,208,1
10.1,19,2
15.1,35,1
20.1,53,1
25.1,70,2
30.1,82,3
35.1,38,3
40.1,12,3
45.1,23,2
50.2,39,1
55.2,58,1
60.2,107,2
65.2,95,3
70.2,12,3
75.2,24,2
80.2,45,1
85.2,62,2
90.2,91,3
95.2,88,3
100.2,11,3
105.2,20,2
110.2,33,1
115.2,57,1
120.2,97,2
125.2,107,3
130.2,4,3
135.2,11,2
140.2,31,1
145.3,56,1
150.3,102,2
155.3,109,3
160.3,5,3
165.3,14,2
170.3,29,1
175.3,54,1
180.3,104,2
185.3,132,3
190.3,17,3
195.3,28,2
200.3,23,2
205.3,39,1
210.3,111,1
215.3,207,2
220.3,217,3
225.3,242,3
230.3,104,3
235.3,24,3
240.3,110,2
245.3,84,3
250.3,8,3
255.3,10,2
260.4,28,1
265.4,53,1
270.4,101,2
275.4,122,3
280.4,10,3
285.4,16,2
290.4,32,1
295.4,52,1
300.4,112,2
305.4,76,3
310.4,9,3
315.4,21,2
320.4,31,1
325.4,51,1
330.4,112,2
335.4,52,3
340.4,1,3
345.4,9,2
350.4,24,1
355.4,49,1
360.5,105,2
365.5,180,3
370.5,105,3
375.5,17,3
380.5,25,2
385.5,26,2
390.5,131,2
395.5,122,3
400.5,15,3
405.5,24,2
410.5,33,1
415.5,58,1
420.5,112,2
425.5,181,3
430.5,116,3
435.5,23,3
440.5,30,2
445.5,26,2
450.5,64,2
455.5,84,3
460.5,11,3
465.5,17,2
470.6,32,1
475.6,52,1
480.6,119,2
485.6,110,3
490.6,79,3
495.6,22,3
500.6,32,2
505.6,33,2
510.6,116,2
515.6,66,3
520.6,7,3
525.6,14,2
530.6,33,1
535.6,53,1
540.6,117,2
545.6,55,3
