elapsed_seconds,total_lag,num_workers
5.1,204,3
10.1,229,3
15.1,19,3
20.1,19,3
25.1,19,3
30.1,63,3
35.1,105,3
40.1,18,3
45.1,17,3
50.1,16,3
55.1,17,3
60.2,63,3
65.2,103,3
70.2,17,3
75.2,16,3
80.2,15,3
85.2,17,3
90.2,65,3
95.2,98,3
100.2,15,3
105.2,16,3
110.2,16,3
115.2,15,3
120.2,66,3
125.2,81,3
130.2,14,3
135.2,16,3
140.2,13,3
145.2,15,3
150.2,64,3
155.3,68,3
160.3,12,3
165.3,14,3
170.3,15,3
175.3,13,3
180.3,64,3
185.3,57,3
190.3,12,3
195.3,11,3
200.3,12,3
205.3,13,3
210.3,63,3
215.3,49,3
220.3,11,3
225.3,11,3
230.3,9,3
235.3,12,3
240.4,62,3
245.4,40,3
250.4,11,3
255.4,8,3
260.4,9,3
265.4,10,3
270.4,64,3
275.4,36,3
280.4,9,3
285.4,8,3
290.4,8,3
295.4,8,3
300.4,61,3
305.4,17,3
310.4,6,3
315.4,7,3
320.4,6,3
325.4,8,3
330.4,49,3
335.4,9,3
340.4,6,3
345.5,6,3
350.5,4,3
355.5,5,3
360.5,39,3
365.5,5,3
370.5,5,3
375.5,5,3
380.5,3,3
385.5,4,3
390.5,36,3
395.5,3,3
400.5,3,3
405.5,2,3
410.5,3,3
415.5,4,3
420.5,27,3
425.5,3,3
430.5,2,3
435.5,1,3
440.5,2,3
445.5,3,3
450.5,20,3
455.6,2,3
460.6,2,3
465.6,1,3
470.6,1,3
475.6,1,3
480.6,23,3
485.6,1,3
490.6,1,3
495.6,1,3
500.6,1,3
505.6,1,3
510.6,23,3
515.6,1,3
520.6,1,3
525.6,1,3
530.6,1,3
535.6,1,3
540.6,41,3
545.6,42,3
550.6,10,3
555.7,6,3
560.7,13,3
565.7,11,3
570.7,39,3
575.7,33,3
580.7,7,3
585.7,6,3
590.7,7,3
595.7,7,3
600.7,88,3
605.7,135,3
610.7,24,3
615.7,24,3
620.7,24,3
625.7,25,3
630.7,89,3
635.7,123,3
640.7,22,3
645.7,22,3
650.7,22,3
655.8,22,3
660.8,87,3
665.8,109,3
670.8,22,3
675.8,21,3
680.8,21,3
685.8,19,3
690.8,89,3
695.8,101,3
700.8,19,3
705.8,20,3
710.8,21,3
715.8,20,3
720.8,87,3
725.8,101,3
730.8,20,3
735.8,19,3
740.8,19,3
745.8,19,3
750.8,88,3
755.8,91,3
760.9,20,3
765.9,20,3
770.9,19,3
775.9,19,3
780.9,88,3
785.9,78,3
790.9,17,3
795.9,17,3
800.9,19,3
805.9,17,3
810.9,87,3
815.9,68,3
820.9,17,3
825.9,16,3
830.9,16,3
835.9,15,3
840.9,85,3
845.9,62,3
850.9,16,3
855.9,16,3
860.9,13,3
865.9,15,3
